City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,79.41,clear sky,-23.1203,-134.9692,People ThankYou
7,Florianopolis,BR,72.7,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
10,San Patricio,US,82.17,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
12,Cidreira,BR,69.96,overcast clouds,-30.1811,-50.2056,Hotel Castelo
13,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
17,Byron Bay,AU,66.7,overcast clouds,-28.65,153.6167,Backpackers Inn
18,Samana,DO,84.42,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
19,Ambilobe,MG,74.71,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
20,Porbandar,IN,83.34,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
29,Avarua,CK,86.05,scattered clouds,-21.2078,-159.775,Paradise Inn
35,Amahai,ID,77.74,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
39,Carnarvon,AU,75.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
41,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
43,Innisfail,AU,73.38,broken clouds,-17.5333,146.0333,Moondarra Motel
47,Bouafle,CI,83.97,light rain,6.9904,-5.7442,Hotel Zaouli
50,Vaini,TO,79.09,overcast clouds,-21.2,-175.2,Keleti Beach Resort
51,Savannah Bight,HN,81.54,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
52,Jardim,BR,87.24,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
53,Puerto Ayora,EC,85.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
55,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Kloulklubed,PW,80.73,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
61,Port Blair,IN,80.33,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
62,Atuona,PF,79.29,scattered clouds,-9.8,-139.0333,Villa Enata
63,Castro,BR,67.17,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
67,Nguruka,TZ,66.36,overcast clouds,-5.1092,31.0419,RUSULI LODGE
68,Namibe,AO,71.06,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
71,Geraldton,AU,73.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
74,Trairi,BR,76.84,overcast clouds,-3.2778,-39.2689,janelas do mar
75,Komsomolskiy,UZ,66.92,overcast clouds,40.4272,71.7189,Ikathouse
76,Umm Lajj,SA,82.74,broken clouds,25.0213,37.2685,Moon light Furnished Units
79,Jacqueville,CI,82.15,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
87,Palauig,PH,79.11,overcast clouds,15.435,119.9045,Alperi Botique Resort
88,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Pirineos
93,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
95,Ampanihy,MG,74.26,broken clouds,-24.7,44.75,Angora Hotel
100,Quelimane,MZ,80.55,broken clouds,-17.8786,36.8883,Hotel Flamingo
101,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
104,Kavaratti,IN,83.23,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
110,Souillac,MU,77.34,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
114,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
115,Monze,ZM,68.0,broken clouds,-16.2833,27.4833,Fay terry lodge
116,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
120,Pucallpa,PE,87.84,scattered clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
123,Kingman,US,77.54,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
126,Palenque,MX,87.96,scattered clouds,17.5167,-91.9667,Hotel Chablis Palenque
128,Vao,NC,79.81,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
136,Atar,MR,79.7,clear sky,20.5169,-13.0499,Oumou Elghoura
138,Bakau,GM,72.59,broken clouds,13.4781,-16.6819,Badala Park Hotel
139,Nouadhibou,MR,66.18,clear sky,20.931,-17.0347,El Medina
142,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
144,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
147,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
148,Manta,EC,80.38,few clouds,-0.95,-80.7333,Balandra Hotel
151,Phangnga,TH,75.24,overcast clouds,8.4509,98.5298,Sunimit Mansion
152,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
154,Emerald,AU,67.33,clear sky,-23.5333,148.1667,The Irish Village
156,Caravelas,BR,78.62,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
159,Coffs Harbour,AU,69.76,overcast clouds,-30.3,153.1333,Aquajet Motel
161,Garchitorena,PH,77.41,light rain,13.8804,123.6946,Site
164,Santiago Del Estero,AR,85.01,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
165,San Juan,AR,85.59,clear sky,-31.5375,-68.5364,Hotel Provincial
171,Sompeta,IN,77.63,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
178,Farafangana,MG,76.78,light rain,-22.8167,47.8333,Miarina
183,Rondonopolis,BR,83.34,clear sky,-16.4708,-54.6356,Serras Hotel
186,La Libertad,EC,80.26,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
193,Lorengau,PG,80.78,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
194,Mingaora,PK,67.23,clear sky,34.7758,72.3625,Burj Al Swat
196,Bhuvanagiri,IN,81.41,overcast clouds,11.4667,79.6333,SWETHA MESS
197,Samarai,PG,80.56,overcast clouds,-10.6167,150.6667,Nuli Sapi
202,Aswan,EG,85.87,clear sky,24.0934,32.907,Nuba Nile
204,Hurghada,EG,83.17,few clouds,27.2574,33.8129,Sea Star Beau Rivage Hotel
208,Cayenne,GF,77.04,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
209,Reconquista,AR,66.92,overcast clouds,-29.15,-59.65,Grand Hotel
210,Itambacuri,BR,78.91,overcast clouds,-18.0311,-41.685,Pousada Bela
212,Hithadhoo,MV,82.08,clear sky,-0.6,73.0833,Scoop Guest House
213,Touros,BR,80.64,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
214,Pecos,US,68.09,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
215,Padang,ID,78.15,overcast clouds,-0.9492,100.3543,Mercure Padang
216,Namwala,ZM,67.55,overcast clouds,-15.7504,26.4384,Corner Point Lodge
217,Faanui,PF,81.66,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
220,Arlit,NE,89.73,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
222,Rio Grande City,US,83.1,clear sky,26.3798,-98.8203,La Borde House
224,Palu,ID,74.23,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
228,Lucapa,AO,65.35,scattered clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
233,Wewak,PG,78.01,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
235,Impfondo,CG,74.25,broken clouds,1.6381,18.0667,Auberge La Place de Jules
236,Luganville,VU,81.27,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
237,Tautira,PF,82.0,few clouds,-17.7333,-149.15,Pension Oaoa
239,San Quintin,MX,78.26,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
240,Cabo San Lucas,MX,88.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
241,Praia,CV,72.14,few clouds,14.9215,-23.5087,LT Aparthotel
245,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
247,Kanniyakumari,IN,81.81,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
249,Guerrero Negro,MX,85.01,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
252,Eagle Pass,US,80.28,clear sky,28.7091,-100.4995,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
253,Kutum,SD,78.03,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
254,Chuy,UY,68.4,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
256,Manokwari,ID,78.28,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
257,Antalaha,MG,75.04,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
258,Jaguaruna,BR,71.19,light rain,-28.615,-49.0256,Pousada Recanto das Flores Jaguaruna
259,Dingle,PH,74.34,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
262,Portland,US,76.87,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
263,Sechura,PE,82.42,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
266,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
267,Ardmore,US,65.86,scattered clouds,34.1743,-97.1436,"Motel 6 Ardmore, OK"
269,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
270,Baghdad,IQ,69.71,overcast clouds,33.3406,44.4009,Baghdad Hotel
273,Butaritari,KI,81.32,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
274,Osmena,PH,77.67,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
275,Saint George,US,79.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
279,Tamiahua,MX,77.88,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
281,Akropong,GH,77.95,broken clouds,5.9746,-0.0854,Vip Lodge
283,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
