City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Strezhevoy,RU,60.7333,77.5889,23.77,97,85,4.74,light snow
1,New Norfolk,AU,-42.7826,147.0587,47.71,83,18,2.48,few clouds
2,Rikitea,PF,-23.1203,-134.9692,79.41,71,7,15.84,clear sky
3,Albany,US,42.6001,-73.9662,47.64,91,100,10.0,moderate rain
4,Broome,US,42.2506,-75.833,48.38,83,100,1.01,moderate rain
5,Carhuaz,PE,-9.2819,-77.6447,64.53,73,98,2.44,light rain
6,Portoferraio,IT,42.8115,10.3146,56.52,79,8,14.12,clear sky
7,Florianopolis,BR,-27.6146,-48.5012,72.7,78,75,6.91,broken clouds
8,Busselton,AU,-33.65,115.3333,63.84,64,85,7.05,overcast clouds
9,East London,ZA,-33.0153,27.9116,61.48,64,18,16.28,few clouds
10,San Patricio,US,28.017,-97.5169,82.17,14,0,15.48,clear sky
11,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,93,100,19.1,overcast clouds
12,Cidreira,BR,-30.1811,-50.2056,69.96,89,100,9.33,overcast clouds
13,Mahebourg,MU,-20.4081,57.7,76.24,83,46,14.18,light rain
14,Evensk,RU,61.95,159.2333,13.46,77,100,3.2,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,40.66,70,20,11.5,few clouds
16,Tasiilaq,GL,65.6145,-37.6368,19.56,94,100,11.27,light snow
17,Byron Bay,AU,-28.65,153.6167,66.7,85,95,10.33,overcast clouds
18,Samana,DO,19.2056,-69.3369,84.42,79,20,6.91,few clouds
19,Ambilobe,MG,-13.2,49.05,74.71,94,98,1.74,overcast clouds
20,Porbandar,IN,21.6422,69.6093,83.34,55,34,9.8,scattered clouds
21,Dikson,RU,73.5069,80.5464,2.77,97,100,11.43,overcast clouds
22,Henties Bay,NA,-22.116,14.2845,60.93,85,0,8.41,clear sky
23,Krasnokamensk,RU,50.0979,118.0369,41.47,73,77,16.93,broken clouds
24,Iqaluit,CA,63.7506,-68.5145,16.7,67,13,3.0,few clouds
25,Ribeira Grande,PT,38.5167,-28.7,60.75,82,100,9.6,overcast clouds
26,Izumo,JP,35.3667,132.7667,49.05,84,36,8.9,scattered clouds
27,Qaanaaq,GL,77.484,-69.3632,-3.78,81,13,6.02,few clouds
28,Mataura,NZ,-46.1927,168.8643,50.81,90,99,9.71,overcast clouds
29,Avarua,CK,-21.2078,-159.775,86.05,74,40,12.66,scattered clouds
30,Hermanus,ZA,-34.4187,19.2345,57.63,76,5,10.69,clear sky
31,Kodiak,US,57.79,-152.4072,38.71,70,100,8.05,overcast clouds
32,Esperance,AU,-33.8667,121.9,64.38,62,43,18.3,scattered clouds
33,Torbay,CA,47.6666,-52.7314,36.28,95,100,14.97,light intensity drizzle
34,Lianzhou,CN,24.7811,112.3825,62.26,74,0,1.92,clear sky
35,Amahai,ID,-3.3333,128.9167,77.74,85,99,2.06,overcast clouds
36,Mehamn,NO,71.0357,27.8492,33.71,74,40,13.8,scattered clouds
37,Cape Town,ZA,-33.9258,18.4232,60.28,73,0,13.0,clear sky
38,Provideniya,RU,64.3833,-173.3,3.36,85,75,7.0,mist
39,Carnarvon,AU,-24.8667,113.6333,75.27,83,40,8.05,scattered clouds
40,Mar Del Plata,AR,-38.0023,-57.5575,60.87,88,75,15.01,broken clouds
41,Hilo,US,19.7297,-155.09,80.33,57,20,12.66,few clouds
42,Punta Arenas,CL,-53.15,-70.9167,48.11,61,0,8.05,clear sky
43,Innisfail,AU,-17.5333,146.0333,73.38,86,65,5.01,broken clouds
44,Leningradskiy,RU,69.3833,178.4167,-4.27,92,100,10.87,overcast clouds
45,Cherskiy,RU,68.75,161.3,-11.29,99,86,1.1,overcast clouds
46,Bluff,NZ,-46.6,168.3333,55.81,72,97,27.07,overcast clouds
47,Bouafle,CI,6.9904,-5.7442,83.97,77,78,2.64,light rain
48,Udachnyy,RU,66.4167,112.4,8.46,71,99,4.83,overcast clouds
49,Khatanga,RU,71.9667,102.5,0.68,94,97,12.17,overcast clouds
50,Vaini,TO,-21.2,-175.2,79.09,73,100,4.38,overcast clouds
51,Savannah Bight,HN,16.45,-85.85,81.54,82,50,17.18,scattered clouds
52,Jardim,BR,-21.4803,-56.1381,87.24,52,67,3.47,broken clouds
53,Puerto Ayora,EC,-0.7393,-90.3518,85.96,73,31,10.13,scattered clouds
54,Kita,ML,13.0349,-9.4895,94.5,10,72,3.51,broken clouds
55,Kapaa,US,22.0752,-159.319,80.58,70,20,18.41,few clouds
56,Saskylakh,RU,71.9167,114.0833,-24.88,100,18,3.27,few clouds
57,Chokurdakh,RU,70.6333,147.9167,-18.13,92,64,4.52,broken clouds
58,Te Anau,NZ,-45.4167,167.7167,51.1,84,100,5.7,overcast clouds
59,Kloulklubed,PW,7.0419,134.2556,80.73,82,100,16.04,overcast clouds
60,Pevek,RU,69.7008,170.3133,-0.87,88,100,7.34,overcast clouds
61,Port Blair,IN,11.6667,92.75,80.33,80,100,4.05,overcast clouds
62,Atuona,PF,-9.8,-139.0333,79.29,71,38,15.17,scattered clouds
63,Castro,BR,-24.7911,-50.0119,67.17,88,100,4.59,moderate rain
64,Tiksi,RU,71.6872,128.8694,-12.71,100,86,1.92,overcast clouds
65,Nara,JP,34.6851,135.8049,52.92,68,0,3.38,clear sky
66,Anchorage,US,61.2181,-149.9003,41.65,59,0,9.22,clear sky
67,Nguruka,TZ,-5.1092,31.0419,66.36,93,100,3.51,overcast clouds
68,Namibe,AO,-15.1961,12.1522,71.06,77,0,4.88,clear sky
69,Hasaki,JP,35.7333,140.8333,46.8,64,27,10.36,scattered clouds
70,Yellowknife,CA,62.456,-114.3525,37.92,44,20,8.05,few clouds
71,Geraldton,AU,-28.7667,114.6,73.81,88,40,10.36,scattered clouds
72,Abu Samrah,SY,35.3029,37.1841,60.46,60,100,7.43,overcast clouds
73,Inuvik,CA,68.3499,-133.7218,40.06,35,75,4.61,broken clouds
74,Trairi,BR,-3.2778,-39.2689,76.84,92,100,8.63,overcast clouds
75,Komsomolskiy,UZ,40.4272,71.7189,66.92,39,97,6.91,overcast clouds
76,Umm Lajj,SA,25.0213,37.2685,82.74,37,66,8.75,broken clouds
77,Taoudenni,ML,22.6783,-3.9836,87.12,9,0,9.98,clear sky
78,Bredasdorp,ZA,-34.5322,20.0403,56.14,76,14,4.36,few clouds
79,Jacqueville,CI,5.2052,-4.4146,82.15,83,90,13.11,overcast clouds
80,Knysna,ZA,-34.0363,23.0471,55.63,79,51,4.18,broken clouds
81,Guadix,ES,37.2993,-3.1392,51.46,60,0,2.66,clear sky
82,Nikolskoye,RU,59.7035,30.7861,41.81,100,100,5.66,overcast clouds
83,Ostrovnoy,RU,68.0531,39.5131,20.5,83,5,11.1,clear sky
84,Ponta Do Sol,PT,32.6667,-17.1,61.43,75,53,2.26,broken clouds
85,Ancud,CL,-41.8697,-73.8203,60.22,83,97,3.98,overcast clouds
86,Tupik,RU,54.4253,119.9327,16.18,99,99,1.86,overcast clouds
87,Palauig,PH,15.435,119.9045,79.11,78,100,4.29,overcast clouds
88,San Cristobal,VE,7.7669,-72.225,80.78,47,68,6.93,broken clouds
89,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,68,40,6.91,scattered clouds
90,Martil,MA,35.6166,-5.2752,58.96,67,0,10.36,clear sky
91,Kenai,US,60.5544,-151.2583,42.89,65,0,12.66,clear sky
92,Hobart,AU,-42.8794,147.3294,48.06,89,20,6.91,few clouds
